,customerid,surname,balance,numofproducts,hascrcard,tenure,isactivemember,exited,creditscore,geography,gender,age,estimatedsalary,age_group,estimatedsalary_group,saving,saving_group,creditscore_group,numofproducts_scale,age_scale,creditscore_scale,estimatedsalary_scale,balance_scale,gender_scale,geography_germany,geography_spain,saving_group_below 50k,saving_group_50k - 100k,saving_group_100k - 150k,saving_group_150k - 200k,saving_group_above 200k,creditscore_group_650 - 700,creditscore_group_above 700,age_group_21-23,age_group_24-31,age_group_32-44,age_group_45-60,age_group_above 60,salary_group_5k - 10k,salary_group_10k - 20k,salary_group_20k - 50k,salary_group_50k - 100k,salary_group_100k - 150k,salary_group_150k - 200k,numofproducts_2,numofproducts_3,numofproducts_4,no_churn_proba,churn_proba,predicted
11,15767821,Bearce,102016.72,2,0,6,0,0,528,france,male,31,80181.12,24-31,50k - 100k,1,100k - 150k,below 650,0.3333333333333333,0.1756756756756757,0.356,0.40088598461153035,0.4066062041365082,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0.93364024,0.06635979,0
12,15737173,Andrews,0.0,2,0,3,0,0,497,spain,male,24,76390.01,24-31,50k - 100k,0,no saving,below 650,0.3333333333333333,0.08108108108108109,0.29399999999999993,0.3819286241836095,0.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0.97457254,0.025427485,0
13,15632264,Kay,0.0,2,0,10,0,0,476,france,female,34,26260.98,32-44,20k - 50k,0,no saving,below 650,0.3333333333333333,0.21621621621621623,0.252,0.13125953528561976,0.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0.9234714,0.076528594,0
14,15691483,Chin,0.0,2,0,5,0,0,549,france,female,25,190857.79,24-31,150k - 200k,0,no saving,below 650,0.3333333333333333,0.09459459459459457,0.398,0.9543221877689319,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0.9609395,0.039060462,0
15,15600882,Scott,0.0,2,1,7,1,0,635,spain,female,35,65951.65,32-44,50k - 100k,0,no saving,below 650,0.3333333333333333,0.22972972972972977,0.57,0.32973183939066175,0.0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0.954405,0.04559499,0
16,15643966,Goforth,143129.41,2,1,3,1,0,616,germany,male,45,64327.26,45-60,50k - 100k,1,100k - 150k,below 650,0.3333333333333333,0.36486486486486486,0.5319999999999999,0.32160911367035555,0.5704683124530762,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0.784607,0.21539302,0
17,15737452,Romeo,132602.88,1,0,1,0,1,653,germany,male,58,5097.67,45-60,5k - 10k,1,100k - 150k,650 - 700,0.0,0.5405405405405406,0.606,0.02543287883992921,0.5285129113577549,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0.16961068,0.8303893,1
18,15788218,Henderson,0.0,2,1,9,1,0,549,spain,female,24,14406.41,24-31,10k - 20k,0,no saving,below 650,0.3333333333333333,0.08108108108108109,0.398,0.07198102418780992,0.0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0.9647462,0.03525381,0
19,15661507,Muldrow,0.0,1,0,6,0,0,587,spain,male,45,158684.81,45-60,150k - 200k,0,no saving,below 650,0.0,0.36486486486486486,0.47399999999999987,0.7934419237037137,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.24792105,0.75207895,1
20,15568982,Hao,0.0,2,1,6,1,0,726,france,female,24,54724.03,24-31,50k - 100k,0,no saving,above 700,0.3333333333333333,0.08108108108108109,0.7519999999999999,0.2735883776900694,0.0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0.96593547,0.03406453,0
21,15577657,McDonald,0.0,2,1,8,1,0,732,france,male,41,170886.17,32-44,150k - 200k,0,no saving,above 700,0.3333333333333333,0.3108108108108108,0.7639999999999999,0.8544545504095641,0.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0.9771592,0.022840805,0
22,15597945,Dellucci,0.0,2,0,8,0,0,636,spain,female,32,138555.46,32-44,100k - 150k,0,no saving,below 650,0.3333333333333333,0.1891891891891892,0.572,0.6927855610210775,0.0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0.9465012,0.053498793,0
23,15699309,Gerasimov,0.0,1,0,4,0,1,510,spain,female,38,118913.53,32-44,100k - 150k,0,no saving,below 650,0.0,0.27027027027027034,0.31999999999999995,0.5945665311037204,0.0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.63658255,0.36341745,0
24,15725737,Mosman,0.0,2,1,3,1,0,669,france,male,46,8487.75,45-60,5k - 10k,0,no saving,650 - 700,0.3333333333333333,0.37837837837837845,0.638,0.04238489775773586,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0.96097744,0.03902259,0
25,15625047,Yen,0.0,1,1,5,1,0,846,france,female,38,187616.16,32-44,150k - 200k,0,no saving,above 700,0.0,0.27027027027027034,0.9919999999999999,0.9381124897427704,0.0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.8286321,0.1713679,0
26,15738191,Maclean,0.0,2,1,3,1,0,577,france,male,25,124508.29,24-31,100k - 150k,0,no saving,below 650,0.3333333333333333,0.09459459459459457,0.45399999999999985,0.6225430028567728,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0.977522,0.022477983,0
27,15736816,Young,136815.64,1,1,2,1,0,756,germany,male,36,170041.95,32-44,150k - 200k,1,100k - 150k,above 700,0.0,0.24324324324324326,0.8119999999999999,0.8502330472560129,0.5453036330408096,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.70019466,0.29980534,0
28,15700772,Nebechi,0.0,2,0,9,0,0,571,france,male,44,38433.35,32-44,20k - 50k,0,no saving,below 650,0.3333333333333333,0.35135135135135137,0.44200000000000006,0.19212719814742305,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0.96969783,0.030302182,0
30,15656300,Lucciano,59697.17,2,1,0,1,0,411,france,male,29,53483.21,24-31,50k - 100k,1,50k - 100k,below 650,0.3333333333333333,0.14864864864864863,0.122,0.26738368514193106,0.23793393564693938,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0.92046237,0.0795376,0
31,15589475,Azikiwe,0.0,3,0,3,0,1,591,spain,female,39,140469.38,32-44,100k - 150k,0,no saving,below 650,0.6666666666666667,0.2837837837837838,0.4819999999999999,0.702356075005163,0.0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0.4403119,0.5596881,1
32,15706552,Odinakachukwu,85311.7,1,1,7,1,0,533,france,male,36,156731.91,32-44,150k - 200k,1,50k - 100k,below 650,0.0,0.24324324324324326,0.366,0.7836764911049005,0.3400253066892618,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.891376,0.10862396,0
33,15750181,Sanderson,110112.54,2,0,9,0,0,553,germany,male,41,81898.81,32-44,50k - 100k,1,100k - 150k,below 650,0.3333333333333333,0.3108108108108108,0.406,0.40947525488684167,0.43887356814872525,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0.911232,0.088768035,0
34,15659428,Maggard,0.0,2,1,6,1,0,520,spain,female,42,34410.55,32-44,20k - 50k,0,no saving,below 650,0.3333333333333333,0.3243243243243243,0.33999999999999997,0.17201127707696084,0.0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0.95398253,0.046017453,0
35,15732963,Clements,0.0,2,1,9,1,0,722,spain,female,29,142033.07,24-31,100k - 150k,0,no saving,above 700,0.3333333333333333,0.14864864864864863,0.7439999999999999,0.710175271738451,0.0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0.965616,0.034384012,0
36,15794171,Lombardo,134264.04,1,0,0,0,1,475,france,female,45,27822.99,45-60,20k - 50k,1,100k - 150k,below 650,0.0,0.36486486486486486,0.25,0.13907033121663118,0.5351337668612783,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.28918266,0.71081734,1
37,15788448,Watson,145260.23,1,1,3,1,0,490,spain,male,31,114066.77,24-31,100k - 150k,1,100k - 150k,below 650,0.0,0.1756756756756757,0.2799999999999999,0.570330416554781,0.5789610833625718,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0.924159,0.075841,0
38,15729599,Lorenzo,76548.6,1,1,7,1,0,804,spain,male,33,98453.45,32-44,50k - 100k,1,50k - 100k,above 700,0.0,0.2027027027027027,0.908,0.49225636048242605,0.3050983767951363,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0.9218146,0.07818537,0
39,15717426,Armstrong,0.0,1,1,7,1,0,850,france,male,36,40812.9,32-44,20k - 50k,0,no saving,above 700,0.0,0.24324324324324326,0.9999999999999999,0.20402608449106888,0.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.8736014,0.12639861,0
40,15585768,Cameron,70349.48,2,1,6,1,0,582,germany,male,41,178074.04,32-44,150k - 200k,1,50k - 100k,below 650,0.3333333333333333,0.3108108108108108,0.46399999999999986,0.8903973329452962,0.28039065582364536,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0.94016457,0.059835453,0
41,15619360,Hsiao,0.0,1,0,4,0,0,472,spain,male,40,70154.22,32-44,50k - 100k,0,no saving,below 650,0.0,0.2972972972972973,0.244,0.35074669630949756,0.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0.7579489,0.24205115,0
42,15738148,Clarke,122522.32,1,0,8,0,1,465,france,female,51,181297.65,45-60,150k - 200k,1,100k - 150k,below 650,0.0,0.445945945945946,0.22999999999999998,0.9065169223660858,0.48833500486193426,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.27340698,0.726593,1
43,15687946,Osborne,117419.35,1,1,2,1,0,556,france,female,61,94153.83,above 60,50k - 100k,1,100k - 150k,below 650,0.0,0.5810810810810811,0.41200000000000003,0.47075620721778927,0.46799618920973063,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.88923377,0.11076624,0
44,15755196,Lavine,131394.56,1,0,2,0,1,834,france,female,49,194365.76,45-60,150k - 200k,1,100k - 150k,above 700,0.0,0.4189189189189189,0.9679999999999999,0.97186371298459,0.5236969320890407,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.24741185,0.75258815,1
45,15684171,Bianchi,155931.11,1,1,5,1,0,660,spain,female,61,158338.39,above 60,150k - 200k,1,150k - 200k,650 - 700,0.0,0.5810810810810811,0.62,0.7917096582723651,0.6214918176539327,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.8638071,0.13619289,0
46,15754849,Tyler,109421.13,2,1,4,1,0,776,germany,female,32,126517.46,32-44,100k - 150k,1,100k - 150k,above 700,0.3333333333333333,0.1891891891891892,0.852,0.6325898123270772,0.4361178277602672,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0.8843746,0.11562541,0
47,15602280,Martin,112045.67,1,1,9,1,1,829,germany,female,27,119708.21,24-31,100k - 150k,1,100k - 150k,above 700,0.0,0.12162162162162166,0.9580000000000001,0.5985403105996623,0.4465784095845449,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0.7691537,0.23084632,0
48,15771573,Okagbue,137843.8,1,1,9,1,1,637,germany,female,39,117622.8,32-44,100k - 150k,1,100k - 150k,below 650,0.0,0.2837837837837838,0.574,0.5881122647212809,0.5494015518412276,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.5867465,0.4132535,0
49,15766205,Yin,103391.38,1,1,2,1,0,550,germany,male,38,90878.13,32-44,50k - 100k,1,100k - 150k,below 650,0.0,0.27027027027027034,0.4,0.454376142921649,0.4120851617483418,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0.719784,0.28021598,0
50,15771873,Buccho,103769.22,2,0,2,0,0,776,germany,female,37,194099.12,32-44,150k - 200k,1,100k - 150k,above 700,0.3333333333333333,0.25675675675675674,0.852,0.9705303856518297,0.4135911118334939,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0.89479715,0.10520287,0
51,15616550,Chidiebele,116363.37,2,0,10,0,0,698,germany,male,44,198059.16,32-44,150k - 200k,1,100k - 150k,650 - 700,0.3333333333333333,0.35135135135135137,0.6960000000000001,0.9903324767515297,0.4637873887361997,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0.9126219,0.08737806,0
52,15768193,Trevisani,146050.97,2,0,5,0,0,585,germany,male,36,86424.57,32-44,50k - 100k,1,100k - 150k,below 650,0.3333333333333333,0.24324324324324326,0.46999999999999986,0.43210621614364175,0.5821127215436356,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0.9166259,0.083374076,0
53,15683553,O'Brien,0.0,2,0,5,0,0,788,france,female,33,116978.19,32-44,100k - 150k,0,no saving,above 700,0.3333333333333333,0.2027027027027027,0.876,0.584888906890608,0.0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0.9465012,0.053498793,0
54,15702298,Parkhill,125561.97,1,0,8,0,1,655,germany,male,41,164040.94,32-44,150k - 200k,1,100k - 150k,650 - 700,0.0,0.3108108108108108,0.61,0.8202251315000582,0.5004500831393337,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.4919765,0.5080235,1
55,15569590,Yoo,98495.72,1,0,1,0,1,601,germany,male,42,40014.76,32-44,20k - 50k,1,50k - 100k,below 650,0.0,0.3243243243243243,0.5019999999999999,0.20003500334281923,0.3925726178306101,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.7983178,0.20168222,0
56,15760861,Phillipps,125211.92,1,1,1,1,0,619,france,male,43,113410.49,32-44,100k - 150k,1,100k - 150k,below 650,0.0,0.3378378378378379,0.5379999999999999,0.567048703151151,0.49905489515683443,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.9242736,0.07572636,0
57,15630053,Tsao,127864.4,1,0,5,0,0,656,france,male,45,87107.57,45-60,50k - 100k,1,100k - 150k,650 - 700,0.0,0.36486486486486486,0.612,0.43552154230729034,0.5096268369360644,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0.4956596,0.5043404,1
58,15647091,Endrizzi,75888.2,1,0,0,0,0,725,germany,male,19,45613.75,18-20,20k - 50k,1,50k - 100k,above 700,0.0,0.013513513513513542,0.7499999999999999,0.22803262711588954,0.3024662324053563,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.80601704,0.19398294,0
59,15623944,T'ien,0.0,1,0,4,0,1,511,spain,female,66,1643.11,above 60,below 5k,0,no saving,below 650,0.0,0.6486486486486487,0.32199999999999995,0.008158429129981912,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.12705344,0.87294656,1
60,15804771,Velazquez,40685.92,1,1,4,1,0,614,france,male,51,46775.28,45-60,20k - 50k,1,below 50k,below 650,0.0,0.445945945945946,0.5279999999999999,0.23384083179943682,0.16216113881137956,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.72732794,0.27267203,0
61,15651280,Hunter,136857.0,1,0,5,0,0,742,germany,male,35,84509.57,32-44,50k - 100k,1,100k - 150k,above 700,0.0,0.22972972972972977,0.7839999999999999,0.422530301643807,0.5454684808481405,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0.6014856,0.39851436,0
62,15773469,Clark,152328.88,2,0,9,0,0,687,germany,female,27,126494.82,24-31,100k - 150k,1,150k - 200k,650 - 700,0.3333333333333333,0.12162162162162166,0.674,0.6324766015154447,0.6071344743995462,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0.93800676,0.061993256,0
63,15702014,Jeffrey,56084.69,2,0,1,0,0,555,spain,male,33,178798.13,32-44,150k - 200k,1,50k - 100k,below 650,0.3333333333333333,0.2027027027027027,0.41000000000000003,0.8940181287312938,0.2235357391520996,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0.89440984,0.10559014,0
64,15751208,Pirozzi,78707.16,1,1,8,1,0,684,spain,male,56,99398.36,45-60,50k - 100k,1,50k - 100k,650 - 700,0.0,0.5135135135135136,0.668,0.49698136172004426,0.31370171052318496,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0.8265013,0.1734987,0
65,15592461,Jackson,109166.37,1,1,4,1,0,603,germany,male,26,92840.67,24-31,50k - 100k,1,100k - 150k,below 650,0.0,0.10810810810810811,0.5059999999999999,0.4641897801240018,0.4351024354151122,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.8534048,0.1465952,0
66,15789484,Hammond,169831.46,2,1,6,1,0,751,germany,female,36,27758.36,32-44,20k - 50k,1,150k - 200k,above 700,0.3333333333333333,0.24324324324324326,0.8019999999999999,0.13874715035285867,0.6768941923790652,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0.8890417,0.110958286,0
67,15696061,Brownless,101633.04,1,0,1,0,0,581,germany,female,34,110431.51,32-44,100k - 150k,1,100k - 150k,below 650,0.0,0.21621621621621623,0.46199999999999986,0.5521523805523427,0.4050769776685028,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.4803537,0.5196463,1
68,15641582,Chibugo,123180.01,2,1,10,1,0,735,germany,male,43,196673.28,32-44,150k - 200k,1,100k - 150k,above 700,0.3333333333333333,0.3378378378378379,0.7699999999999999,0.9834024149306257,0.4909563480535065,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0.93978655,0.060213454,0
69,15638424,Glauert,150725.53,2,1,5,1,0,661,germany,female,35,113656.85,32-44,100k - 150k,1,150k - 200k,650 - 700,0.3333333333333333,0.22972972972972977,0.622,0.5682806207992863,0.6007440311721783,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0.89883214,0.101167835,0
70,15755648,Pisano,98373.26,1,0,8,0,0,675,france,female,21,18203.0,21-23,10k - 20k,1,50k - 100k,650 - 700,0.0,0.040540540540540515,0.65,0.09096578723268071,0.39208453121345005,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0.78186584,0.21813418,0
71,15703793,Konovalova,133745.44,4,0,2,0,1,738,germany,male,58,28373.86,45-60,20k - 50k,1,100k - 150k,above 700,1.0,0.5405405405405406,0.7759999999999999,0.14182494428217893,0.5330667921784499,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0.057988048,0.94201195,1
72,15620344,McKee,0.0,1,0,6,0,0,813,france,male,29,33953.87,24-31,20k - 50k,0,no saving,above 700,0.0,0.14864864864864863,0.926,0.1697276589914337,0.0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.8606813,0.13931872,0
73,15812518,Palermo,163607.18,1,1,0,1,0,657,spain,female,37,44203.55,32-44,20k - 50k,1,150k - 200k,650 - 700,0.0,0.25675675675675674,0.614,0.22098095368107654,0.6520861916485694,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.81710434,0.18289563,0
74,15779052,Ballard,157780.84,2,1,5,1,0,604,germany,female,25,58426.81,24-31,50k - 100k,1,150k - 200k,below 650,0.3333333333333333,0.09459459459459457,0.5079999999999999,0.2921040459363869,0.6288642532113338,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0.9444305,0.05556953,0
75,15770811,Wallace,0.0,2,1,9,1,0,519,france,male,36,145562.4,32-44,100k - 150k,0,no saving,below 650,0.3333333333333333,0.24324324324324326,0.33799999999999997,0.7278236071544831,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0.97776526,0.022234725,0
76,15780961,Cavenagh,178718.19,2,0,1,0,0,735,france,female,21,22388.0,21-23,20k - 50k,1,150k - 200k,above 700,0.3333333333333333,0.040540540540540515,0.7699999999999999,0.11189278576104017,0.7123138721382855,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0.91246647,0.08753352,0
77,15614049,Hu,0.0,2,1,8,1,0,664,france,male,55,139161.64,45-60,100k - 150k,0,no saving,650 - 700,0.3333333333333333,0.5,0.628,0.6958167504996727,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0.96156365,0.038436327,0
78,15662085,Read,0.0,1,1,9,1,0,678,france,female,32,148210.64,32-44,100k - 150k,0,no saving,650 - 700,0.0,0.1891891891891892,0.656,0.7410660718098578,0.0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.81825656,0.18174346,0
79,15575185,Bushell,77253.22,1,1,5,1,0,757,spain,male,33,194239.63,32-44,150k - 200k,1,50k - 100k,above 700,0.0,0.2027027027027027,0.814,0.9712330027517627,0.30790676804275396,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.900029,0.099971004,0
80,15803136,Postle,122189.66,2,0,10,0,0,416,germany,female,41,98301.61,32-44,50k - 100k,1,100k - 150k,below 650,0.3333333333333333,0.3108108108108108,0.132,0.4914970879719013,0.48700912788933554,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0.8812778,0.11872219,0
81,15706021,Buley,96645.54,2,0,1,0,0,665,france,female,34,171413.66,32-44,150k - 200k,1,50k - 100k,650 - 700,0.3333333333333333,0.21621621621621623,0.63,0.8570922523100956,0.38519838871631107,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0.89526635,0.10473364,0
82,15663706,Leonard,0.0,1,0,2,0,1,777,france,female,32,136458.19,32-44,100k - 150k,0,no saving,above 700,0.0,0.1891891891891892,0.854,0.6822982094790052,0.0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.698138,0.30186197,0
